ID,Name,File name,Type,Assignee,Date,link/PDF,Details
11,prepare your course site in Canvas,,pdf,Bei,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/It%E2%80%99s-time-to-prepare-your-course-site-in-Canvas.aspx,Preparation timeline of Canvas
12,Access to Canvas: Getting Started,,pdf,Bei,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Get-started-in-Canvas-Sandpit.aspx,How to Access to Canvas
13,Getting Started with Canvas,,pdf,Bei,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Getting-Started-with-Canvas.aspx,all
14,Glossary of Canvas Terms,,website,Bei,14/03,https://www.newcastle.edu.au/current-staff/teaching-and-research/teaching-resources/ldti/ldti-teaching-resources/resources/glossary-of-canvas-terms,Simplified Glossary for Terms Used in Canvas
15,How does Canvas define the terms used to describe its features and functions?,,website,Bei,14/03,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-does-Canvas-define-the-terms-used-to-describe-its-features/ta-p/51,all
16,Setting up your Canvas Course Site,,pdf,Bei,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Setting-up-your-Canvas-Course-Site.aspx,Canvas feature and functionality
17,Digital learning and teaching tools and technologies in ANU Canvas,,pdf,Bei,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Digital-Tools-and-Technologies-in-ANU-Canvas.aspx,all
18,learning management system (LMS) Canvas unveiled,,pdf,Bei,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Our-new-learning-management-system-(LMS)-Canvas-unveiled.aspx,feedback about Canvas
19,Canvas (LMS) Accessibility Checker,,pdf,Bei,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Canvas-Accessibility-Checker.aspx,Introduce Canvas accessibility checker
20,How do I use the Accessibility Checker in the Rich Content Editor?,,website,Bei,14/03,https://community.canvaslms.com/t5/Canvas-Basics-Guide/How-do-I-use-the-Accessibility-Checker-in-the-Rich-Content/ta-p/618238,How to use the Accessibility Checker
21,Using Canvas in each Teaching period,,pdf,Bei,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Using-Canvas-for-Learning-and-Teaching(1).aspx,features and functionalities of canvas
22,Video resources,,website,Yiou Liu,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Video-resources.aspx,
23,Canvas (LMS) Accessibility checker,,website,Yiou Liu,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Canvas-Accessibility-Checker.aspx,
24,Padlet and Canvas,,docx,Yiou Liu,14/03,https://anu365.sharepoint.com/:w:/r/sites/DigitalPlanHub/_layouts/15/Doc.aspx?sourcedoc=%7B0B7E7060-E42B-4CEF-946E-91A42AAA2945%7D&file=Padlet%20and%20Canvas.docx&action=default&mobileredirect=true&DefaultItemOpen=1,"Padlet and Canvas :Hi, welcome to Canvas In brief. In this video we are looking at how to create Padlet activities and how to embed them in Canvas. Padlet is an online collaborative board for capturing, organising and sharing ideas and materials in a visually appealing format.  You can use Padlet in your Canvas courses to encourage synchronous or asynchronous interaction in whole class discussions and in Group work. Let's start from the 'ANU Digital Tools and Learning and Teaching' page. Scroll down and select 'Padlet'.You can find more information on 'logging in' on this page. The link to this page is in the description below the video.  When you're ready, click 'Login to Padlet'.  Once logged in, you'll land on the home page. Select 'Gallery' in the top menu.  Here you'll see a number of Padlet templates.  You can select 'Education 'in the top right menu to find more relevant templates.  Use the filter on the left to narrow down your search for a template you need. Here are some templates for assignments and more activity templates. Let's pick 'About us'. This is the Padlet we've created. It's empty for now. Click here to see an example. In the 'Settings panel' you can change the title, provide a description and select a new icon. You can change the appearance by changing the wallpaper font, colour and size and also size of the posts. Consider a relevant theme that aligns with the topic of the activity you're creating. For the layout you can select the format and how the posts are sorted. It is by Drag and drop', 'date' or 'subject' for engagement depending on the intention of the paddle activity. You can turn comments and reactions 'on' or 'off'. You have the option of hiding author and timestamp. You can also customise post subjects body and attachment. You can edit and add more custom fields. Lastly, would you like to enable moderation? Do posts and comments need to be approved? When you are happy with the settings, you can select 'Generate Sample Posts' to generate some sample posts. You can easily delete these sample posts by clicking 'Delete'. Next, select 'Open Share Panel'. Two things here you need to take note of are 'Visitors permissions 'and 'Link privacy'. To allow your students to write posts, choose 'Writer'. Other options available include allowing your visitors to read or comment on the posts. Only select whichever is applicable. To ensure students can view and interact with your Padlet, ensure to choose 'Secret'. This means your Padlet will be available for anyone with the link. Select 'Embed in your blog or website'. Select 'Copy Board Embed Code'. In your canvas course, you can create a new page or choose the page, assignment or discussion where you want to embed this Padlet. In this video, we will select a page. Click 'Edit'. In the Rich Content Editor field, place your cursor in the position you want to embed the Padlet. Select the 'Embed' icon in the toolbar. If the embed icon is not visible, click on the three dots to display all. You'll now be able to see the 'Embed' icon. Alternatively, you can select 'Insert' in the top navigation menu and select 'Embed' in the menu. Then paste the Padlet board code in the field provided. Click 'Submit'. When you are done embedding the Padlet, remember to save the page. The Padlet is now embedded on the page. Here are other videos that you may find useful. You can access other Canvas support resources via the ANU Digital Plan Hub."
25,Getting Ready,,website,Yiou Liu,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Getting-ready.aspx,
26,Training and Support resources,,website,Yiou Liu,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Training-and-Support-Resources(2).aspx,
27,Resources & downloads,Change canvas.pdf,pdf,Yujing  Zhang,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Resources-%26-downloads.aspx,Contains 1 file related to canvas
28,Access to Canvas now available for academics teaching Semester 2 and Winter courses,Access to Canvas now available for academics teaching Semester 2 and Winter courses.pdf,pdf,Yujing  Zhang,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/digital-plan-bulletin-december-2024.aspx,
29,Digital Plan Bulletin,N/A,N/A,Yujing  Zhang,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/DigitalPlanBulletin.aspx,only links in this page
30,Canvas support resources,Canvas support resources.pfd,pdf,Yujing  Zhang,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Canvas-Support-Resources.aspx,
31,NEW: Change Management Templates,NEW_ Change Management Templates.pdf,pdf,Yujing  Zhang,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/change-management-templates.aspx,
32,New learning management system,New learning management system.pdf,pdf,Yujing  Zhang,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/new-learning-management-system-lms.aspx,
33,Locating & Adjusting Quizzes ,Locating & Adjusting Quizzes.docx,docx,Yujing  Zhang,14/03,https://anu365.sharepoint.com/:w:/r/sites/DigitalPlanHub/_layouts/15/Doc.aspx?sourcedoc=%7BA7FDBDBC-1E1C-40E6-B1C3-C20C9FEECD51%7D&file=Locating%20%26%20Adjusting%20Quizzes.docx&action=default&mobileredirect=true&DefaultItemOpen=1,
34,Navigating your Migrated course,Navigating your migrated course.docx,docx,Yujing  Zhang,14/03,https://anu365.sharepoint.com/:w:/r/sites/DigitalPlanHub/_layouts/15/Doc.aspx?sourcedoc=%7B46BD0A9C-F96B-472A-91FE-E890A87E620E%7D&file=Navigating%20your%20migrated%20course.docx&action=default&mobileredirect=true&DefaultItemOpen=1,
35,Transforming student placements and career development,Transforming student placements and career development.pdf,pdf,Yujing  Zhang,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/transforming-student-placements-career-development.aspx,
36,Adjusting migrated course content,Adjusting migrated course content.docx,docx,Yujing  Zhang,14/03,https://anu365.sharepoint.com/:w:/r/sites/DigitalPlanHub/_layouts/15/Doc.aspx?sourcedoc=%7BC12C264E-BC75-44AB-B6B2-F912FD4B81E8%7D&file=Adjusting%20migrated%20course%20content.docx&action=default&mobileredirect=true&DefaultItemOpen=1,
37,Video 10 - Fixing duplicated file names-en-AU,Video 10 - Fixing duplicated file names-en-AU.docx,docx,Yujing  Zhang,14/03,https://anu365.sharepoint.com/:w:/r/sites/DigitalPlanHub/_layouts/15/Doc.aspx?sourcedoc=%7B2E644190-9BCC-42E3-8772-380E7AEBFAC4%7D&file=Video%2010%20-%20Fixing%20duplicated%20file%20names-en-AU.docx&action=default&mobileredirect=true&DefaultItemOpen=1,
38,Enhancing the learning experience of our students with disability with SensusAccess,Enhancing the learning experience of our students with disability with SensusAccess.pdf,pdf,Yujing  Zhang,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Enhancing-the-learning-experience-of-our-students-with-disability-with-SensusAccess.aspx,
39,Learning Management System(LMS) Fundamentals,Learning Management System(LMS) Fundamentals.pdf,pdf,Yujing  Zhang,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Fundamentals.aspx,
40,Adjusting migrated assignments,Adjusting migrated assignments.docx,docx,Yujing  Zhang,14/03,https://anu365.sharepoint.com/:w:/r/sites/DigitalPlanHub/_layouts/15/Doc.aspx?sourcedoc=%7BF3EFC229-D596-4479-A125-398FBBF1F586%7D&file=Adjusting%20migrated%20assignments.docx&action=default&mobileredirect=true&DefaultItemOpen=1,
41,Creating H5P Content on Canvas_1,,docx,Yiou Liu,14/03,https://anu365.sharepoint.com/:w:/r/sites/DigitalPlanHub/_layouts/15/Doc.aspx?sourcedoc=%7B0BC72C8C-A640-42B9-BE32-A6FA8F8176B7%7D&file=Creating%20H5P%20Content%20on%20Canvas.docx&action=default&mobileredirect=true&DefaultItemOpen=1,
42,Learning & Teaching,,website,Yiou Liu,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Learning-Teaching-initiatives.aspx,
43,How to build a Canvas course site,,website,Yiou Liu,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/How-to-build-a-Canvas-course-site.aspx,empty
44,Information for colleges,,website,Yiou Liu,14/03,https://anu365.sharepoint.com/sites/DigitalPlanHub/SitePages/Information-for-Colleges.aspx,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
